# Router calibration split -- target ~25 images per domain.
#
# Used ONLY to fit the temperature. The ECE reported to users is measured on
# data/router_eval/, which this fit never sees. Same columns, same rules; the two
# sets must share no filenames.
filename,domain,source_url,license,sha256,notes
Detail__scheurvorming_in_het_metselwerk_aan_de_linkerzijde_van_de_voorge_43fa9ff4.jpg,building,"https://commons.wikimedia.org/wiki/File:Detail,_scheurvorming_in_het_metselwerk_aan_de_linkerzijde_van_de_voorgevel_-_Groningen_-_20416075_-_RCE.jpg",CC BY-SA 4.0,36a6aa78f98c6a8f786d809967851e665e2f15a5d2017c69e1d2ce6a2d26fe3c,sampled seed=20260311; author: Chris Booms
Detail_schacht_in_gele_verblendsteen__venster_met_natuurstenen_bovendorp_c7e0f8a5.jpg,building,"https://commons.wikimedia.org/wiki/File:Detail_schacht_in_gele_verblendsteen,_venster_met_natuurstenen_bovendorpel,_scheurvorming_-_Boskoop_-_20330065_-_RCE.jpg",CC BY-SA 4.0,36900955d4e8f4d0d888b5b73d9fd208fcbd8e1fd619e3678517147f26da030a,sampled seed=20260311; author: Gerard Dukker
Detail_van_metselwerk_-_Heukelum_-_20425345_-_RCE.jpg,building,https://commons.wikimedia.org/wiki/File:Detail_van_metselwerk_-_Heukelum_-_20425345_-_RCE.jpg,CC BY-SA 4.0,0f0b686f0dba014909b1be94c1f9c5fdf34fac1d8db6358478dadd41aed19684,sampled seed=20260311; author: Sergé Technau
Detail_van_scheur_in_de_muur_van_de_zijgevel_-_Rotterdam_-_20426675_-_RC_87b0bc82.jpg,building,https://commons.wikimedia.org/wiki/File:Detail_van_scheur_in_de_muur_van_de_zijgevel_-_Rotterdam_-_20426675_-_RCE.jpg,CC BY-SA 4.0,92652fcfdc47b3ce47404847a8e9769ddb53959e689fb76e7d0e8de01f66ec0e,sampled seed=20260311; author: Sergé Technau
Exterieur_LINKER_ZIJGEVEL__SCHEURVORMING_-_Warga_-_20283751_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_LINKER_ZIJGEVEL,_SCHEURVORMING_-_Warga_-_20283751_-_RCE.jpg",CC BY-SA 4.0,53b101c91fb38090a099d50b706b9467407e8564c18ebe0976fe25ad5bdf9fce,sampled seed=20260311; author: A. J. van der Wal
Exterieur_LINKER_ZIJGEVEL__SCHEURVORMING_-_Warga_-_20283752_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_LINKER_ZIJGEVEL,_SCHEURVORMING_-_Warga_-_20283752_-_RCE.jpg",CC BY-SA 4.0,7c0841eb1df4aa2d0ed0926525b8b6f4a8745f2f1334650e92e6fa22ba60876c,sampled seed=20260311; author: A. J. van der Wal
Exterieur_NOORDGEVEL__SCHEURVORMING_-_Berkel_en_Rodenrijs_-_20293257_-_R_823794da.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_NOORDGEVEL,_SCHEURVORMING_-_Berkel_en_Rodenrijs_-_20293257_-_RCE.jpg",CC BY-SA 4.0,d8cbc39b964e5dcf0d890dd3bde6c9ce09bca5cfccf1b3b876feab5315d31985,sampled seed=20260311; author: Gerard Dukker
Exterieur_NOORDGEVEL__SCHEURVORMING_-_Berkel_en_Rodenrijs_-_20293258_-_R_429304f5.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_NOORDGEVEL,_SCHEURVORMING_-_Berkel_en_Rodenrijs_-_20293258_-_RCE.jpg",CC BY-SA 4.0,6c6661f0995638acb23da4a918a75a05bc1f937a8edcdfc7b9b1c9e0d918d83e,sampled seed=20260311; author: Gerard Dukker
Exterieur_NOORDGEVEL__SCHEURVORMING__DETAIL_-_Den_Andel_-_20280402_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_NOORDGEVEL,_SCHEURVORMING,_DETAIL_-_Den_Andel_-_20280402_-_RCE.jpg",CC BY-SA 4.0,ef01bb8fa93040430813b7fb808077e51c1eeee53d4eee8e108341c784ff7ed4,sampled seed=20260311; author: A. J. van der Wal
Exterieur_NOORDGEVEL__SCHEURVORMING__DETAIL_-_Den_Andel_-_20280404_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_NOORDGEVEL,_SCHEURVORMING,_DETAIL_-_Den_Andel_-_20280404_-_RCE.jpg",CC BY-SA 4.0,de12f160ee6b58b2cd85d725d4d799046a376d5d098dc47523b1b1c1572f301d,sampled seed=20260311; author: A. J. van der Wal
Exterieur_NOORDGEVEL__SCHEURVORMING__DETAIL_-_Den_Andel_-_20280415_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_NOORDGEVEL,_SCHEURVORMING,_DETAIL_-_Den_Andel_-_20280415_-_RCE.jpg",CC BY-SA 4.0,e463a29dfd5ff9f43be89add8242e7077181d795b6cc6b239cea3905d6764ed5,sampled seed=20260311; author: A. J. van der Wal
Exterieur_NOORDWEST_GEVEL_MET_SCHEURVORMING__DETAIL_-_Oud-Vossemeer_-_20_0a5fa9ea.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_NOORDWEST_GEVEL_MET_SCHEURVORMING,_DETAIL_-_Oud-Vossemeer_-_20287958_-_RCE.jpg",CC BY-SA 4.0,b4ee8162e112f30ee63fb61e81697703a145abb02b2dfd9e88c01927a9899b3a,sampled seed=20260311; author: Gerard Dukker
Exterieur_OOSTGEVEL__SCHEURVORMING__DETAIL_-_Den_Andel_-_20280408_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_OOSTGEVEL,_SCHEURVORMING,_DETAIL_-_Den_Andel_-_20280408_-_RCE.jpg",CC BY-SA 4.0,0a97fb33de22c18c8b0f1c899aa69c782c8f08b49151dc4506471803b3ffbe00,sampled seed=20260311; author: A. J. van der Wal
Exterieur_RECHTER_ZIJGEVEL__SCHEURVORMING_-_Warga_-_20283740_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_RECHTER_ZIJGEVEL,_SCHEURVORMING_-_Warga_-_20283740_-_RCE.jpg",CC BY-SA 4.0,33c99eff36f7f3c3d83228a86248cc22c11b9ffe52bf48b84459e44406752461,sampled seed=20260311; author: A. J. van der Wal
Exterieur_RECHTER_ZIJGEVEL__SCHEURVORMING_-_Warga_-_20283741_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_RECHTER_ZIJGEVEL,_SCHEURVORMING_-_Warga_-_20283741_-_RCE.jpg",CC BY-SA 4.0,c000fbe9e6b7f38042a1ef8d8af48ff0afb9a44c97c14d89c5fe92f22067c1f2,sampled seed=20260311; author: A. J. van der Wal
Exterieur_RECHTER_ZIJGEVEL__SCHEURVORMING_-_Warga_-_20283742_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_RECHTER_ZIJGEVEL,_SCHEURVORMING_-_Warga_-_20283742_-_RCE.jpg",CC BY-SA 4.0,d05978f0a51e67173e8e776ddb074f597eb41d2ec8c348e9a6fa2403e6391ca5,sampled seed=20260311; author: A. J. van der Wal
Exterieur_RECHTER_ZIJGEVEL__SCHEURVORMING_-_Warga_-_20283743_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_RECHTER_ZIJGEVEL,_SCHEURVORMING_-_Warga_-_20283743_-_RCE.jpg",CC BY-SA 4.0,646fd40d079b4a362b3f6d122e2f5444da7e22877f1c09ab881e4a6f6293e048,sampled seed=20260311; author: A. J. van der Wal
Exterieur_RECHTER_ZIJGEVEL__SCHEURVORMING_-_Warga_-_20283744_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_RECHTER_ZIJGEVEL,_SCHEURVORMING_-_Warga_-_20283744_-_RCE.jpg",CC BY-SA 4.0,353886af73b315a93cd935b074517d07e0797a26edce39aed239f9a6c6d8d91e,sampled seed=20260311; author: A. J. van der Wal
Exterieur_RECHTER_ZIJGEVEL__SCHEURVORMING_-_Warga_-_20283745_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_RECHTER_ZIJGEVEL,_SCHEURVORMING_-_Warga_-_20283745_-_RCE.jpg",CC BY-SA 4.0,01434dc071d07826982605de605906f700cba76e273746ffbfa28a31b7c014a9,sampled seed=20260311; author: A. J. van der Wal
Exterieur_RECHTER_ZIJGEVEL__SCHEURVORMING_-_Warga_-_20283746_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_RECHTER_ZIJGEVEL,_SCHEURVORMING_-_Warga_-_20283746_-_RCE.jpg",CC BY-SA 4.0,b2a83951cabe045fbc74dc7c570b94bb9f6a87296f124be4d644b23f467f32ae,sampled seed=20260311; author: A. J. van der Wal
Exterieur_RECHTER_ZIJGEVEL__SCHEURVORMING_-_Warga_-_20283747_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_RECHTER_ZIJGEVEL,_SCHEURVORMING_-_Warga_-_20283747_-_RCE.jpg",CC BY-SA 4.0,7cba929b9362b7711c9be3b21e62dd29fa3e58aff1dd57da4d24f133b194d8ca,sampled seed=20260311; author: A. J. van der Wal
Exterieur_RECHTER_ZIJGEVEL__SCHEURVORMING_-_Warga_-_20283748_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_RECHTER_ZIJGEVEL,_SCHEURVORMING_-_Warga_-_20283748_-_RCE.jpg",CC BY-SA 4.0,c63d21e1685804a2917b327009328b6ebd699199008786e8d716d50e8fa9a568,sampled seed=20260311; author: A. J. van der Wal
Exterieur_RECHTER_ZIJGEVEL__SCHEURVORMING_-_Warga_-_20283749_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_RECHTER_ZIJGEVEL,_SCHEURVORMING_-_Warga_-_20283749_-_RCE.jpg",CC BY-SA 4.0,783545f9008ab52afdb7403948a7fa9bc7d0ad202dca957d290321646df71c9f,sampled seed=20260311; author: A. J. van der Wal
Exterieur_SCHEURVORMING__DETAIL_-_Den_Andel_-_20280410_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_SCHEURVORMING,_DETAIL_-_Den_Andel_-_20280410_-_RCE.jpg",CC BY-SA 4.0,37cc6090a2ec6f2c0300ddb6274049387f53808f2cc4db7081fa6006a65249d9,sampled seed=20260311; author: A. J. van der Wal
Exterieur_SCHEURVORMING__DETAIL_-_Den_Andel_-_20280411_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_SCHEURVORMING,_DETAIL_-_Den_Andel_-_20280411_-_RCE.jpg",CC BY-SA 4.0,6ac8557544efa4128e479cb17ae2972d613bfcac82217172787ce68e7ba7b538,sampled seed=20260311; author: A. J. van der Wal
Exterieur_SCHEURVORMING__DETAIL_-_Den_Andel_-_20280412_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_SCHEURVORMING,_DETAIL_-_Den_Andel_-_20280412_-_RCE.jpg",CC BY-SA 4.0,305ecfbc488bea1154a4dfd6b55275cbe97b4fda7f278eb7cea8b962ec3e3a7f,sampled seed=20260311; author: A. J. van der Wal
Exterieur_SCHEURVORMING__DETAIL_-_Den_Andel_-_20280413_-_RCE.jpg,building,"https://commons.wikimedia.org/wiki/File:Exterieur_SCHEURVORMING,_DETAIL_-_Den_Andel_-_20280413_-_RCE.jpg",CC BY-SA 4.0,0b67ba405bc3e45cd37c44ad73b9a645a8cc499ab01e925737ef3faf7d2f1759,sampled seed=20260311; author: A. J. van der Wal
